exec_time,objective,relative_gap
0.25,1.2919207006261928e6,0.025317752227496097
0.7809998989105225,1.2878960591928903e6,0.002939095375328338
0.812000036239624,1.2871744801439045e6,0.002377171271697498
0.8910000324249268,1.2862616220919997e6,0.0011579431276952786
1.1670000553131104,1.2862196265185215e6,0.0005411859152905796
1.2300000190734863,1.286196673702687e6,0.0005233310815579923
1.2869999408721924,1.2861370010556476e6,0.00047691214982615546
1.3320000171661377,1.2860820184638724e6,0.00016164148263084357
1.3819999694824219,1.286073753071975e6,0.00014462108363500186
1.428999900817871,1.2860536502344077e6,9.14318836957612e-5
